Product Name,Price,Rating,Product Link,Brand,Category,Discount,Reviews Count,Availability
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,"₹82,990",4.5,https://www.flipkart.com/hp-14-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-14-ep1152tu-thin-light-laptop/p/itmbdf86095a05e6?pid=COMHG98EXZ3AJYZN&lid=LSTCOMHG98EXZ3AJYZNODD67U&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2cMWoLw7IUXNJ3qahqv-engHv3DjJjf4qAz9nIq7kJiAioojLCJxB8XCNbMz52LI73ZWtP17Dc48gDURppsanL5&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,HP,laptop,36,2651,In Stock
ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,"₹17,990",4.4,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1405cka-nk0154-cx1405cka-s60342/p/itm076cdd51ac69a?pid=COMHDDZ7PYJZSGUZ&lid=LSTCOMHDDZ7PYJZSGUZKERLBX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_4dW0Y4ACNAPLlMMSsdpv9a82UiLDjySSRWvuZFhwR2eLGmEt1ZDD_ukVVPLbGk96d-F_cR4LlOkSo0qMkFVEQMI7B9brrb7Q52-C22sJU0JITAloHVn-YZsVpYywg9I2&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,19,2475,In Stock
MSI Modern 14 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-115IN Th...,"₹39,990",5.0,https://www.flipkart.com/msi-modern-14-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-c13m-115in-thin-light-laptop/p/itmc778cc72a0aa4?pid=COMGMV6V6ZAUMWEH&lid=LSTCOMGMV6V6ZAUMWEHX12DJK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMGMV6V6ZAUMWEH.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,MSI,laptop,23,2799,In Stock
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹40,990",4.9,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-8-gb-512-gb-ssd-windows-11-home-x1504va-d5321ws-thin-light-laptop/p/itma044347a6922b?pid=COMHGWQY66YNGVFK&lid=LSTCOMHGWQY66YNGVFKYKVYYT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=5cdc26ed-e143-4583-854d-06be217a96be.COMHGWQY66YNGVFK.SEARCH&ppt=None&ppn=None&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,23,88,In Stock
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,"₹81,990",4.7,https://www.flipkart.com/lenovo-ideapad-slim-3-amd-ryzen-7-octa-core-8840h-office-2024-backlit-keyboard-8840hs-24-gb-1-tb-ssd-windows-11-home-15ahp10-thin-light-laptop/p/itm39c8550e0d65e?pid=COMHDYG7DMGRZETR&lid=LSTCOMHDYG7DMGRZETRPBL0T3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=90d6316a-9f96-4e11-ae59-6aaa5d132f5f.COMHDYG7DMGRZETR.SEARCH&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,23,2185,In Stock
Lenovo IdeaPad Slim 3 with 1Yr ADP Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) ...,"₹67,999",3.8,https://www.flipkart.com/lenovo-ideapad-slim-3-1yr-adp-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itma093617319422?pid=COMHCYGTDF5GYHFX&lid=LSTCOMHCYGTDF5GYHFXXPRB9R&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=90d6316a-9f96-4e11-ae59-6aaa5d132f5f.COMHCYGTDF5GYHFX.SEARCH&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,33,354,In Stock
Lenovo IdeaPad Slim 3 (Gen 11) Next-gen AI PC Intel Core Ultra 5 322 - (16 GB/512 GB SSD/Windows 11 Ho...,"₹1,09,990",3.5,https://www.flipkart.com/lenovo-ideapad-slim-3-gen-11-next-gen-ai-pc-intel-core-ultra-5-322-16-gb-512-gb-ssd-windows-11-home-15iph11-thin-light-laptop/p/itm408ce3b8776af?pid=COMHNCZXW7E6MJDJ&lid=LSTCOMHNCZXW7E6MJDJV2T4OJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=en_CiAcSv2Nf1FPOBQT3Tew1xcRHbsUfUOxT3gV7SkH_IDuDWvKvXr5OnDjv8YNwswswM2O6qmLP5barTDCXR9aYw7TN8KYb81vvr3z4o2LeNTO6IBdcH1KOaNHSfM13xVz&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,30,4814,In Stock
Lenovo IdeaPad Slim 3 (Gen 11) Next-gen AI PC Intel Core Ultra 7 355 - (16 GB/512 GB SSD/Windows 11 Ho...,"₹1,25,990",4.1,https://www.flipkart.com/lenovo-ideapad-slim-3-gen-11-next-gen-ai-pc-intel-core-ultra-7-355-16-gb-512-gb-ssd-windows-11-home-15iph11-thin-light-laptop/p/itmb3fb0de089f16?pid=COMHNCZXGYVHFX8H&lid=LSTCOMHNCZXGYVHFX8H9QGBZZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_CiAcSv2Nf1FPOBQT3Tew1xcRHbsUfUOxT3gV7SkH_IDEcST891_2YMsdg2ZdTT7x0FGK8HwxyIYJkqzRSxLEeLPUWWhSQwEvjZVUxp_UHFrO6IBdcH1KOaNHSfM13xVz&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,30,2754,In Stock
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,"₹59,990",4.9,https://www.flipkart.com/lenovo-ideapad-slim-3-next-gen-ai-pc-wuxga-ips-copilot-1yr-adp-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-15q8x10-thin-light-laptop/p/itmd6d920cf123c3?pid=COMHDMJYDGBTMJXG&lid=LSTCOMHDMJYDGBTMJXG112MJM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=90d6316a-9f96-4e11-ae59-6aaa5d132f5f.COMHDMJYDGBTMJXG.SEARCH&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,Lenovo,laptop,11,2580,In Stock
"ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic*, AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/...","₹58,990",3.8,https://www.flipkart.com/asus-vivobook-15-2026-office-2024-m365-basic-amd-ryzen-5-hexa-core-150-16-gb-512-gb-ssd-windows-11-home-m1502naq-bq119ws-thin-light-laptop/p/itmf0d340183ebdc?pid=COMHKDXBNFHSYFHB&lid=LSTCOMHKDXBNFHSYFHBNHEJP0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=90d6316a-9f96-4e11-ae59-6aaa5d132f5f.COMHKDXBNFHSYFHB.SEARCH&ppt=sp&ppn=sp&ssid=glhltqh9ow0000001781413756905&qH=312f91285e048e09&ov_redirect=true,ASUS,laptop,10,2029,In Stock
